"group","Genome_Size"
"env",4.525929
"env",3.976954
"env",2.866284
"plas",3.790951
"env",3.999783
"env",4.651752
"env",2.536769
"env",4.630032
"env",2.113113
"env",3.397383
"env",2.752583
"env",2.319593
"env",3.129443
"env",1.521011
"env",2.676768
"env",3.597533
"env",5.463811
"env",3.712539
"env",2.290902
"env",4.365383
"env",3.161104
"env",6.128319
"plas",3.522854
"env",4.88848
"env",4.697631
"env",5.955244
"env",1.935938
"plas",3.515631
"env",2.966009
"env",4.107655
"env",4.175253
"env",2.572584
"plas",5.761398
"plas",6.276425
"plas",3.448368
"env",4.045687
"env",2.83612
"env",2.842678
"env",3.451177
"env",3.321197
"plas",3.829873
"env",4.753425
"plas",10.310994
"env",4.192925
"env",2.58716
"env",5.164612
"plas",4.020366
"plas",3.121357
"plas",5.142251
"plas",4.794841
"plas",2.335234
"plas",4.525743
"plas",3.755636
"env",1.987521
"plas",5.032447
"plas",4.654667
"plas",3.768353
"plas",3.30977
"plas",4.940654
"plas",3.639742
"plas",3.426408
"plas",2.98865
"plas",2.235511
"plas",3.397989
"plas",3.513184
"plas",2.235678
"plas",3.342734
"plas",6.685896
"plas",2.89216
"plas",2.706381
"plas",2.776078
"plas",2.646463
"plas",7.197758
"plas",6.977139
"plas",5.590437
"env",2.340393
"env",1.797541
"env",3.479905
"plas",4.103659
"plas",3.134173
"plas",4.173112
"plas",3.745401
"plas",3.739291
"plas",3.978845
"env",2.198422
"plas",4.026496
"plas",3.760841
"plas",5.286647
"env",2.965352
"env",3.085164
"plas",4.070132
"plas",5.782215
"plas",5.576316
"plas",5.173932
"plas",4.136684
"plas",4.561472
"env",2.837163
"env",3.206675
"plas",3.592283
"env",4.866107
"env",2.261397
"env",1.889614
"env",3.130404
"env",2.545908
"env",1.690118
"plas",3.944701
"plas",3.26838
"env",2.25502
"plas",4.747306
"env",5.203615
"env",2.578633
"env",3.474971
"env",3.3147
"env",2.160434
"env",3.493793
"env",2.125278
"env",3.327264
"env",2.157276
"env",3.90814
"plas",4.649318
"env",3.560152
"env",3.678197
"env",4.752475
"env",2.656582
"env",3.055313
"env",1.97622
"plas",5.755294
"env",4.735834
"env",5.931768
"plas",10.858077
"env",1.188112
"env",4.560592
"env",3.035194
"env",3.96119
"env",3.100828
"plas",2.874327
"env",3.629731
"env",3.798912
"env",7.744779
"env",5.178781
"env",5.182674
"env",4.790173
"env",1.725259
"plas",3.077678
"env",2.802201
"env",3.286044
"env",1.957657
"env",3.348753
"env",3.960423
"env",3.192653
"env",3.414639
"env",3.491483
"plas",3.573415
"plas",3.417516
"env",2.704449
"plas",4.236444
"env",2.578842
"plas",3.671501
"env",1.973883
"plas",2.176326
"env",2.368659
"plas",4.507303
"plas",3.747871
"plas",3.474991
"plas",4.970258
"plas",3.503051
"plas",4.48973
"env",3.457225
"plas",4.143867
"plas",4.074096
"plas",2.198611
"plas",3.84477
"plas",2.74568
"plas",3.399696
"plas",4.102651
"plas",3.459613
"plas",8.725078
"env",4.565642
"plas",2.82597
"env",3.400637
"env",5.030133
"env",2.333496
"plas",2.474666
"env",2.73258
"env",2.363138
"plas",3.911455
"plas",3.433245
"plas",4.434354
"plas",5.395527
"plas",3.336475
"plas",2.949368
"plas",3.471366
"plas",5.135346
"plas",4.743293
"plas",4.187686
"plas",5.387977
"plas",4.481491
"env",2.716495
"env",2.319296
"env",8.65299
"env",1.968996
"env",2.167877
"env",5.250248
"env",2.633916
"env",1.834516
"env",3.06078
"env",3.232288
"env",4.045953
"env",4.518264
"env",3.454654
"env",6.305944
"env",3.946588
"env",3.656656
"env",2.841694
"env",2.892262
"env",1.668292
"env",2.137834
"env",1.281279
"env",3.480069
"env",5.77859
"env",5.740503
"env",2.896544
"env",2.832274
"env",5.473173
"env",4.218331
"env",4.060614
"env",4.756564
"env",4.930142
"env",3.817549
"env",2.03236
"env",2.945062
"env",3.043991
"plas",8.776717
"plas",3.050912
"env",2.239899
"env",2.322798
"env",2.350797
"env",2.681075
"plas",2.761554
"plas",3.233223
"env",6.071799
"env",4.423566
"env",1.404383
"plas",4.022729
"env",3.175232
"env",3.869126
"plas",5.630653
"plas",5.382637
"plas",4.472146
"env",2.11413
"env",3.230713
"plas",4.008509
"plas",4.153314
"plas",3.024046
