"var","split","estimate","conf.low","conf.high","p.value","sequence","Group"
"Phage","All",0.324468071428953,0.202271058245807,0.446665084612099,1.9476509557769e-07,1,"plastisphere"
"IS","All",1.24998356143504,1.09568045498501,1.40428666788506,9.09557180133527e-57,2,"plastisphere"
"CE","All",1.08061508295264,0.948422304502052,1.21280786140323,9.00023573810038e-58,3,"plastisphere"
"IGE","All",0.43109443639106,0.303443241894067,0.558745630888054,3.61515904206003e-11,4,"plastisphere"
"Plasmid","All",1.12648774632155,0.981614096776601,1.27136139586649,1.91850239616543e-52,5,"plastisphere"
"Phage","Freshwater",-0.0168409663755474,-0.174838586467073,0.141156653715978,0.834516497686486,1,"none"
"IS","Freshwater",0.717748817552309,0.525379045738228,0.91011858936639,2.61630622363781e-13,2,"plastisphere"
"CE","Freshwater",0.813762418901878,0.698009018543516,0.929515819260239,3.41823143836109e-43,3,"plastisphere"
"IGE","Freshwater",0.713174225551048,0.553304849052171,0.873043602049924,2.26274652359173e-18,4,"plastisphere"
"Plasmid","Freshwater",0.610719088519109,0.49791664659399,0.723521530444229,2.63877353886569e-26,5,"plastisphere"
"Phage","Marine",1.01154439108144,0.85267430369055,1.17041447847233,9.6810525849258e-36,1,"plastisphere"
"IS","Marine",2.44612279443383,1.99255225400372,2.89969333486395,4.09800716418079e-26,2,"plastisphere"
"CE","Marine",1.92068562220366,1.61961786641269,2.22175337799462,7.12150435262234e-36,3,"plastisphere"
"IGE","Marine",-0.33713872371333,-0.798322281040723,0.124044833614063,0.151917508421898,4,"none"
"Plasmid","Marine",2.3526980085932,1.97316219491519,2.73223382227121,5.76561523524397e-34,5,"plastisphere"
