"group","GC"
"env",52.05
"plas",53.6
"plas",57.82
"plas",54.49
"plas",54.89
"plas",63.57
"plas",67.14
"plas",59.5
"plas",62.2
"plas",49.13
"plas",52.94
"plas",60.39
"plas",62.58
"plas",66.93
"plas",67.75
"plas",66.45
"plas",66.89
"plas",66.78
"plas",64.63
"plas",64.64
"plas",64.38
"plas",63.24
"env",69.48
"env",70.69
"env",73.22
"plas",68.26
"plas",57.69
"plas",70.14
"plas",67.58
"plas",64.76
"plas",65.48
"env",52.07
"plas",66.4
"plas",65.24
"plas",70.58
"env",60.17
"env",58.94
"plas",68.69
"plas",67.66
"plas",66.65
"plas",66.17
"plas",69.48
"plas",69.41
"env",62.36
"env",40.64
"plas",49.03
"env",57.95
"env",50.59
"env",41.44
"env",52.81
"env",44.17
"env",36.06
"plas",51.79
"plas",51.92
"env",44.68
"plas",58.28
"env",47.73
"env",32.68
"env",37.85
"env",33.69
"env",30.75
"env",36.98
"env",42.42
"env",33.75
"env",36.64
"env",36.28
"plas",44.92
"env",44.68
"env",42.44
"env",36.61
"env",44.85
"env",31.94
"env",28.1
"plas",46.69
"env",39.51
"env",43.68
"plas",56.21
"env",55.15
"env",46.9
"env",36.6
"env",62.4
"env",45.62
"plas",45.56
"env",46.01
"env",44.77
"env",57.45
"env",54.93
"env",52.18
"env",52.03
"env",40.69
"plas",61.7
"env",46.58
"env",65.95
"env",45.83
"env",42.2
"env",50.58
"env",46.09
"env",50.28
"env",41.77
"plas",60.08
"plas",52.76
"env",58.38
"plas",57.47
"env",63.41
"plas",57.53
"env",57.53
"plas",48.89
"env",52.34
"plas",54.89
"plas",54.75
"plas",55.92
"plas",65.87
"plas",60.09
"plas",58.17
"env",54.07
"plas",58.33
"plas",67.38
"plas",60.11
"plas",65.4
"plas",65.88
"plas",63.08
"plas",54.78
"plas",65.65
"plas",73.18
"env",73.31
"plas",70.23
"env",73.29
"env",66.52
"env",53.98
"plas",66.7
"env",74.84
"env",54.43
"plas",66.77
"plas",64.95
"plas",66.99
"plas",65.75
"plas",69.68
"plas",70.01
"plas",66.78
"plas",68.3
"plas",70.65
"plas",70.07
"plas",67.49
"plas",66.35
"env",41.19
"env",35.83
"env",52.2
"env",46.61
"env",46.6
"env",31.2
"env",38.36
"env",48.39
"env",38.2
"env",35.67
"env",32.49
"env",34.32
"env",38.28
"env",34.44
"env",43.22
"env",37.09
"env",27.94
"env",27.99
"env",32.91
"env",76.09
"env",49.54
"env",56.68
"env",43.19
"env",52.71
"env",40.19
"env",40.33
"env",33.1
"env",37.22
"env",40.74
"env",36.53
"env",36.86
"env",48.49
"env",46.8
"env",41.92
"env",53.92
"plas",62.87
"plas",51.52
"env",41.47
"env",43.1
"env",52.37
"env",57.88
"plas",54.39
"plas",54.18
"env",57.45
"env",50.82
"env",56.02
"plas",59.14
"env",47.07
"env",32.14
"plas",58.95
"plas",59.38
"plas",56.93
"env",57.9
"env",65.52
"plas",54.42
"plas",59.41
"plas",63.04
"plas",70.73
"plas",57.18
"plas",66.2
"plas",66.69
"plas",61.37
"plas",65.85
"plas",64.58
"plas",64.46
"plas",68.97
"plas",71.14
"env",67.96
"env",69.42
"plas",65.46
"plas",67.49
"plas",56.53
"plas",59.92
"env",58.94
"env",74.25
"plas",69.03
"env",54.42
"plas",63.24
"env",59.68
"env",61.89
"plas",67.61
"plas",69.84
"plas",72.81
"plas",68.84
"env",67.42
"plas",49.12
"env",57.9
"env",40.77
"env",36.74
"env",37.52
"plas",38.37
"env",50.01
"plas",57.91
"env",39.41
"plas",71.71
"env",35.41
"plas",62.96
"env",33.87
"env",54.73
"env",43.42
"env",36.13
"env",32.32
"env",29.75
"env",47.99
"env",34.58
"env",44.68
"plas",57.49
"env",48.88
"env",43
"env",41.76
"env",41.69
"plas",56.58
"env",62.03
"env",47.55
"env",52.39
"env",55.09
"env",36.76
"env",45.31
"env",45.29
"env",50.99
"env",48.48
"env",41.74
"env",42.71
"env",58.12
"env",48.28
"env",54.03
"plas",59.99
"env",36.84
"plas",52.72
"env",67.16
"env",68.87
"env",45.67
"env",41.57
"env",50.7
"env",53.39
"env",51.42
"env",48.03
"env",65.03
"env",43.47
"plas",60.85
"env",55.08
"plas",60.04
"plas",57.35
"env",57.49
"env",54.74
"plas",65.09
"env",50.69
"plas",59.9
"plas",62.51
"env",45.28
"plas",54.45
"plas",54.45
"plas",65.84
"plas",63.33
"plas",67.85
"plas",62.21
"plas",55.79
"plas",56.86
"plas",66.83
"plas",61.61
"plas",63.98
"plas",63.31
"plas",64.43
"plas",59.61
"env",67.54
"env",61.64
"plas",62.88
"plas",71.76
"plas",71.34
"env",65.68
"env",67.71
"env",66.22
"env",69.49
"plas",62.24
"plas",65.52
"plas",65.56
"plas",62.88
"env",63.98
"plas",66.93
"plas",60.93
"env",60.34
"plas",61.31
"plas",70.93
"env",63.25
"plas",68.02
"plas",67.85
"plas",69.28
"plas",69.86
"env",64.65
"env",67.18
"env",67.08
"env",40.65
"env",57.89
"env",31.58
"env",31.64
"env",45.29
"env",46.31
"env",33.12
"env",36.73
"env",43.58
"env",38.39
"env",44.52
"env",43.87
"env",40.59
"env",43.16
"env",34.7
"env",44.5
"env",34.1
"env",31.9
"env",38.85
"env",39.83
"env",32.28
"env",30.83
"env",31.3
"env",38.89
"env",41.38
"env",39.07
"env",31.86
"plas",51.69
"env",32.49
"env",47.92
"plas",62.31
"env",48.89
"env",37.02
"env",56.54
"env",42.98
